timestamp,refinery_area,sensor_id,sensor_type,sensor_reading,sensor_units,operational_status
01/03/2022 12:15:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,65,Cubic Meters/Hour,Normal
01/03/2022 12:15:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,17,MMBTU/Hour,Normal
01/03/2022 12:15:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,45,Percent,High
01/03/2022 12:30:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,13000,Barrels/Hour,Normal
01/03/2022 12:30:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,125,Degrees Fahrenheit,Normal
01/03/2022 12:30:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,2300,Barrels/Hour,Normal
01/03/2022 12:30:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,665,Degrees Fahrenheit,Alert
01/03/2022 12:30:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,11500,Pounds/Hour,Normal
01/03/2022 12:30:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,600,Cubic meters/Hour,Normal
01/03/2022 12:30:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,870,RPM,Normal
01/03/2022 12:30:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,133,Degrees Fahrenheit,Normal
01/03/2022 12:30:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,139,Degrees Fahrenheit,Normal
01/03/2022 12:30:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,365,Degrees Fahrenheit,Normal
01/03/2022 12:30:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,18,MMBTU/Hour,Normal
01/03/2022 12:30:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,75,Cubic Meters/Hour,Normal
01/03/2022 12:30:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,21,MMBTU/Hour,Normal
01/03/2022 12:30:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,55,Percent,High
01/03/2022 12:45:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,13500,Barrels/Hour,Normal
01/03/2022 12:45:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,127,Degrees Fahrenheit,Normal
01/03/2022 12:45:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,2200,Barrels/Hour,Normal
01/03/2022 12:45:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,660,Degrees Fahrenheit,Alert
01/03/2022 12:45:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,11000,Pounds/Hour,Normal
01/03/2022 12:45:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,575,Cubic meters/Hour,Normal
01/03/2022 12:45:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,860,RPM,Normal
01/03/2022 12:45:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,130,Degrees Fahrenheit,Normal
01/03/2022 12:45:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,136,Degrees Fahrenheit,Normal
01/03/2022 12:45:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,360,Degrees Fahrenheit,Normal
01/03/2022 12:45:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,16,MMBTU/Hour,Normal
01/03/2022 12:45:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,70,Cubic Meters/Hour,Normal
01/03/2022 12:45:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,19,MMBTU/Hour,Normal
01/03/2022 12:45:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,50,Percent,High
01/03/2022 13:00:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,14000,Barrels/Hour,Normal
01/03/2022 13:00:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,130,Degrees Fahrenheit,Normal
01/03/2022 13:00:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,2400,Barrels/Hour,Normal
01/03/2022 13:00:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,670,Degrees Fahrenheit,Alert
01/03/2022 13:00:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,12000,Pounds/Hour,Normal
01/03/2022 13:00:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,625,Cubic meters/Hour,Normal
01/03/2022 13:00:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,880,RPM,Normal
01/03/2022 13:00:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,135,Degrees Fahrenheit,Normal
01/03/2022 13:00:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,142,Degrees Fahrenheit,Normal
01/03/2022 13:00:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,370,Degrees Fahrenheit,Normal
01/03/2022 13:00:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,20,MMBTU/Hour,Normal
01/03/2022 13:00:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,80,Cubic Meters/Hour,Normal
01/03/2022 13:00:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,23,MMBTU/Hour,Normal
01/03/2022 13:00:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,60,Percent,High
01/03/2022 13:15:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,14500,Barrels/Hour,Normal
01/03/2022 13:15:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,132,Degrees Fahrenheit,Normal
01/03/2022 13:15:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,2500,Barrels/Hour,Normal
01/03/2022 13:15:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,675,Degrees Fahrenheit,Alert
01/03/2022 13:15:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,12500,Pounds/Hour,Normal
01/03/2022 13:15:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,650,Cubic meters/Hour,Normal
01/03/2022 13:15:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,890,RPM,Normal
01/03/2022 13:15:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,138,Degrees Fahrenheit,Normal
01/03/2022 13:15:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,145,Degrees Fahrenheit,Normal
01/03/2022 13:15:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,375,Degrees Fahrenheit,Normal
01/03/2022 13:15:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,22,MMBTU/Hour,Normal
01/03/2022 13:15:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,85,Cubic Meters/Hour,Normal
01/03/2022 13:15:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,25,MMBTU/Hour,Normal
01/03/2022 13:15:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,65,Percent,High
01/03/2022 13:30:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,15000,Barrels/Hour,Normal
01/03/2022 13:30:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,135,Degrees Fahrenheit,Normal
01/03/2022 13:30:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,2600,Barrels/Hour,Normal
01/03/2022 13:30:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,680,Degrees Fahrenheit,Alert
01/03/2022 13:30:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,13000,Pounds/Hour,Normal
01/03/2022 13:30:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,675,Cubic meters/Hour,Normal
01/03/2022 13:30:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,900,RPM,Normal
01/03/2022 13:30:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,141,Degrees Fahrenheit,Normal
01/03/2022 13:30:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,148,Degrees Fahrenheit,Normal
01/03/2022 13:30:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,380,Degrees Fahrenheit,Normal
01/03/2022 13:30:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,24,MMBTU/Hour,Normal
01/03/2022 13:30:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,90,Cubic Meters/Hour,Normal
01/03/2022 13:30:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,27,MMBTU/Hour,Normal
01/03/2022 13:30:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,70,Percent,High
01/03/2022 13:45:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,15500,Barrels/Hour,Normal
01/03/2022 13:45:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,137,Degrees Fahrenheit,Normal
01/03/2022 13:45:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,2700,Barrels/Hour,Normal
01/03/2022 13:45:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,685,Degrees Fahrenheit,Alert
01/03/2022 13:45:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,13500,Pounds/Hour,Normal
01/03/2022 13:45:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,700,Cubic meters/Hour,Normal
01/03/2022 13:45:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,910,RPM,Normal
01/03/2022 13:45:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,144,Degrees Fahrenheit,Normal
01/03/2022 13:45:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,151,Degrees Fahrenheit,Normal
01/03/2022 13:45:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,385,Degrees Fahrenheit,Normal
01/03/2022 13:45:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,26,MMBTU/Hour,Normal
01/03/2022 13:45:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,95,Cubic Meters/Hour,Normal
01/03/2022 13:45:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,29,MMBTU/Hour,Normal
01/03/2022 13:45:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,75,Percent,High
01/03/2022 14:00:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,16000,Barrels/Hour,Normal
01/03/2022 14:00:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,140,Degrees Fahrenheit,Normal
01/03/2022 14:00:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,2800,Barrels/Hour,Normal
01/03/2022 14:00:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,690,Degrees Fahrenheit,Alert
01/03/2022 14:00:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,14000,Pounds/Hour,Normal
01/03/2022 14:00:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,725,Cubic meters/Hour,Normal
01/03/2022 14:00:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,920,RPM,Normal
01/03/2022 14:00:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,147,Degrees Fahrenheit,Normal
01/03/2022 14:00:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,154,Degrees Fahrenheit,Normal
01/03/2022 14:00:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,390,Degrees Fahrenheit,Normal
01/03/2022 14:00:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,28,MMBTU/Hour,Normal
01/03/2022 14:00:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,100,Cubic Meters/Hour,Normal
01/03/2022 14:00:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,31,MMBTU/Hour,Normal
01/03/2022 14:00:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,80,Percent,High
01/03/2022 14:15:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,16500,Barrels/Hour,Normal
01/03/2022 14:15:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,143,Degrees Fahrenheit,Normal
01/03/2022 14:15:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,2900,Barrels/Hour,Normal
01/03/2022 14:15:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,695,Degrees Fahrenheit,Alert
01/03/2022 14:15:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,14500,Pounds/Hour,Normal
01/03/2022 14:15:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,750,Cubic meters/Hour,Normal
01/03/2022 14:15:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,930,RPM,Normal
01/03/2022 14:15:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,150,Degrees Fahrenheit,Normal
01/03/2022 14:15:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,157,Degrees Fahrenheit,Normal
01/03/2022 14:15:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,395,Degrees Fahrenheit,Normal
01/03/2022 14:15:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,30,MMBTU/Hour,Normal
01/03/2022 14:15:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,105,Cubic Meters/Hour,Normal
01/03/2022 14:15:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,33,MMBTU/Hour,Normal
01/03/2022 14:15:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,85,Percent,High
01/03/2022 14:30:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,17000,Barrels/Hour,Normal
01/03/2022 14:30:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,146,Degrees Fahrenheit,Normal
01/03/2022 14:30:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,3000,Barrels/Hour,Normal
01/03/2022 14:30:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,700,Degrees Fahrenheit,Alert
01/03/2022 14:30:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,15000,Pounds/Hour,Normal
01/03/2022 14:30:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,775,Cubic meters/Hour,Normal
01/03/2022 14:30:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,940,RPM,Normal
01/03/2022 14:30:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,153,Degrees Fahrenheit,Normal
01/03/2022 14:30:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,160,Degrees Fahrenheit,Normal
01/03/2022 14:30:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,400,Degrees Fahrenheit,Normal
01/03/2022 14:30:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,32,MMBTU/Hour,Normal
01/03/2022 14:30:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,110,Cubic Meters/Hour,Normal
01/03/2022 14:30:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,35,MMBTU/Hour,Normal
01/03/2022 14:30:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,90,Percent,High
01/03/2022 14:45:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,17500,Barrels/Hour,Normal
01/03/2022 14:45:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,149,Degrees Fahrenheit,Normal
01/03/2022 14:45:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,3100,Barrels/Hour,Normal
01/03/2022 14:45:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,705,Degrees Fahrenheit,Alert
01/03/2022 14:45:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,15500,Pounds/Hour,Normal
01/03/2022 14:45:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,800,Cubic meters/Hour,Normal
01/03/2022 14:45:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,950,RPM,Normal
01/03/2022 14:45:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,156,Degrees Fahrenheit,Normal
01/03/2022 14:45:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,163,Degrees Fahrenheit,Normal
01/03/2022 14:45:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,405,Degrees Fahrenheit,Normal
01/03/2022 14:45:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,34,MMBTU/Hour,Normal
01/03/2022 14:45:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,115,Cubic Meters/Hour,Normal
01/03/2022 14:45:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,37,MMBTU/Hour,Normal
01/03/2022 14:45:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,95,Percent,High
01/03/2022 15:00:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,18000,Barrels/Hour,Normal
01/03/2022 15:00:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,152,Degrees Fahrenheit,Normal
01/03/2022 15:00:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,3200,Barrels/Hour,Normal
01/03/2022 15:00:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,710,Degrees Fahrenheit,Alert
01/03/2022 15:00:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,16000,Pounds/Hour,Normal
01/03/2022 15:00:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,825,Cubic meters/Hour,Normal
01/03/2022 15:00:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,960,RPM,Normal
01/03/2022 15:00:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,159,Degrees Fahrenheit,Normal
01/03/2022 15:00:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,166,Degrees Fahrenheit,Normal
01/03/2022 15:00:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,410,Degrees Fahrenheit,Normal
01/03/2022 15:00:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,36,MMBTU/Hour,Normal
01/03/2022 15:00:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,120,Cubic Meters/Hour,Normal
01/03/2022 15:00:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,39,MMBTU/Hour,Normal
01/03/2022 15:00:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,100,Percent,High
01/03/2022 15:15:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,18500,Barrels/Hour,Normal
01/03/2022 15:15:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,155,Degrees Fahrenheit,Normal
01/03/2022 15:15:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,3300,Barrels/Hour,Normal
01/03/2022 15:15:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,715,Degrees Fahrenheit,Alert
01/03/2022 15:15:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,16500,Pounds/Hour,Normal
01/03/2022 15:15:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,850,Cubic meters/Hour,Normal
01/03/2022 15:15:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,970,RPM,Normal
01/03/2022 15:15:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,162,Degrees Fahrenheit,Normal
01/03/2022 15:15:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,169,Degrees Fahrenheit,Normal
01/03/2022 15:15:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,415,Degrees Fahrenheit,Normal
01/03/2022 15:15:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,38,MMBTU/Hour,Normal
01/03/2022 15:15:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,125,Cubic Meters/Hour,Normal
01/03/2022 15:15:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,41,MMBTU/Hour,Normal
01/03/2022 15:15:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,105,Percent,High
01/03/2022 15:30:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,19000,Barrels/Hour,Normal
01/03/2022 15:30:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,158,Degrees Fahrenheit,Normal
01/03/2022 15:30:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,3400,Barrels/Hour,Normal
01/03/2022 15:30:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,720,Degrees Fahrenheit,Alert
01/03/2022 15:30:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,17000,Pounds/Hour,Normal
01/03/2022 15:30:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,875,Cubic meters/Hour,Normal
01/03/2022 15:30:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,980,RPM,Normal
01/03/2022 15:30:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,165,Degrees Fahrenheit,Normal
01/03/2022 15:30:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,172,Degrees Fahrenheit,Normal
01/03/2022 15:30:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,420,Degrees Fahrenheit,Normal
01/03/2022 15:30:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,40,MMBTU/Hour,Normal
01/03/2022 15:30:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,130,Cubic Meters/Hour,Normal
01/03/2022 15:30:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,43,MMBTU/Hour,Normal
01/03/2022 15:30:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,110,Percent,High
01/03/2022 15:45:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,19500,Barrels/Hour,Normal
01/03/2022 15:45:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,161,Degrees Fahrenheit,Normal
01/03/2022 15:45:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,3500,Barrels/Hour,Normal
01/03/2022 15:45:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,725,Degrees Fahrenheit,Alert
01/03/2022 15:45:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,17500,Pounds/Hour,Normal
01/03/2022 15:45:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,900,Cubic meters/Hour,Normal
01/03/2022 15:45:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,990,RPM,Normal
01/03/2022 15:45:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,168,Degrees Fahrenheit,Normal
01/03/2022 15:45:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,175,Degrees Fahrenheit,Normal
01/03/2022 15:45:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,425,Degrees Fahrenheit,Normal
01/03/2022 15:45:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,42,MMBTU/Hour,Normal
01/03/2022 15:45:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,135,Cubic Meters/Hour,Normal
01/03/2022 15:45:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,45,MMBTU/Hour,Normal
01/03/2022 15:45:00,Crude Distillation Unit,CDU114,Residue Column Bottoms Level,115,Percent,High
01/03/2022 16:00:00,Crude Distillation Unit,CDU101,Crude Oil Flow Rate,20000,Barrels/Hour,High
01/03/2022 16:00:00,Crude Distillation Unit,CDU102,Crude Oil Temperature,164,Degrees Fahrenheit,Normal
01/03/2022 16:00:00,Crude Distillation Unit,CDU103,Bottom Product Flow Rate,3600,Barrels/Hour,Normal
01/03/2022 16:00:00,Crude Distillation Unit,CDU104,Bottom Product Temperature,730,Degrees Fahrenheit,Alert
01/03/2022 16:00:00,Crude Distillation Unit,CDU105,Overhead Vapor Flow Rate,18000,Pounds/Hour,Normal
01/03/2022 16:00:00,Crude Distillation Unit,CDU106,Furnace Fuel Gas Flow,925,Cubic meters/Hour,Normal
01/03/2022 16:00:00,Crude Distillation Unit,CDU107,Furnace Air Blower Speed,1000,RPM,Normal
01/03/2022 16:00:00,Crude Distillation Unit,CDU108,Desalter Oil Outlet Temperature,171,Degrees Fahrenheit,Normal
01/03/2022 16:00:00,Crude Distillation Unit,CDU109,Desalter Water Outlet Temperature,178,Degrees Fahrenheit,Normal
01/03/2022 16:00:00,Crude Distillation Unit,CDU110,Preheat Train Outlet Temperature,430,Degrees Fahrenheit,Normal
01/03/2022 16:00:00,Crude Distillation Unit,CDU111,Naphtha Reboiler Duty,44,MMBTU/Hour,Normal
01/03/2022 16:00:00,Crude Distillation Unit,CDU112,Kerosene Pumparound Flow,140,Cubic Meters/Hour,Normal
01/03/2022 16:00:00,Crude Distillation Unit,CDU113,Diesel Reboiler Duty,47,MMBTU/Hour,Normal
